elevation,temperature,speed,fuel,battery
646,283,31.6,59,64
635,283,31.8,59,64
640,293,32.2,59,65
639,286,33.3,59,66
658,294,33.5,61,66
654,292,33.6,60,64
645,285,32.4,60,65
641,293,34.0,60,65
651,288,33.3,61,64
634,285,32.4,60,65
652,286,33.5,59,66
655,283,31.4,59,64
655,283,31.8,59,64
647,283,31.9,60,66
650,292,31.8,59,66
652,290,34.2,60,65
641,291,31.7,60,64
651,284,34.0,60,66
651,297,33.0,60,65
662,285,33.0,60,65
663,286,31.6,61,64
651,288,34.4,59,65
642,288,31.9,61,65
664,284,32.8,59,64
637,284,32.7,61,65
659,291,32.7,61,66
646,287,33.1,60,66
659,294,33.0,60,65
660,289,31.6,61,65
650,293,34.2,59,66
662,295,32.1,59,65
666,285,33.2,59,66
635,293,31.7,60,65
653,290,33.1,59,65
656,284,34.1,60,65
646,283,34.1,59,65
648,288,32.2,60,66
648,288,33.7,61,64
655,284,34.5,59,65
661,290,34.0,60,64
653,287,32.2,61,65
642,283,34.6,59,66
650,288,34.0,60,65
652,296,33.9,61,65
651,284,32.9,61,66
651,295,34.1,60,65
651,283,32.5,60,66
653,284,34.0,61,65
653,287,32.0,61,64
635,294,33.8,60,65
651,294,33.7,59,64
662,285,33.1,60,65
666,297,32.3,60,64
635,285,32.4,59,66
637,284,33.4,60,65
656,292,32.7,60,65
664,296,34.1,60,64
655,292,32.2,59,64
643,295,33.5,59,65
647,294,32.8,61,66
