"Canadian Producers, x","Canadian Producers, y","US E&Ps and Integrated, x","US E&Ps and Integrated, y","Others, x","Others, y"
"6.9379723686","28.3040197474","10.4789796291","23.0556350191","2.3554923845","9.1114310458"
"17.4568468777","40.9588623061","12.5619250764","20.1983332324","5.2195423746","11.9264066012"
"20.0605286869","32.4117729954","13.3951032554","17.6086187984","9.2292123607","17.5360474944"
"36.3075031761","39.451665137","15.4259750665","15.7402743582","11.1559368995","2.8542906646"
"","","19.0711295994","17.6985193703","12.3536305317","7.2485801267"
"","","23.1328732217","19.1902177216","13.6554714363","12.5002569473"
"","","23.3932414026","10.2165946253","17.4047732415","9.3576186271"
"","","23.6645724543","12.4973186671","19.4356450527","36.3471213623"
"","","24.8513032157","18.6119641729","20.2688232316","14.4668240036"
"","","25.6729094755","13.2775062664","20.6854123211","23.1040369765"
"","","27.1193993695","14.2205950271","20.7374859572","8.957156586"
"","","30.4752559236","21.0426670351","22.5262917027","12.0272676536"
"","","31.464655011","16.3631816271","22.7006852566","11.4291316629"
"","","33.4955268222","13.8333293807","24.6950823072","14.3608490928"
"","","36.7049072417","13.1212966213","24.8513032157","24.2066301466"
"","","37.2969022636","14.8495278498","26.3614386651","27.7932604169"
"","","42.3798677511","20.0297515522","26.8821750269","6.1093568651"
"","","42.6604867905","16.1875877513","29.173415019","7.5073869586"
"","","42.7125604267","27.4159995904","29.9024459255","9.7014147804"
"","","42.886139214","20.8733550805","33.8600422755","15.1618442959"
"","","43.5978122418","12.7762654954","36.0992086314","10.1843016603"
"","","48.5968813154","10.2591223654","36.8803131741","33.5118285598"
"","","49.7425013115","21.1709157033","39.11947953","12.3404229382"
"","","51.044342216","5.5800306027","41.9835295201","21.3139735778"
"","","60.0010076396","16.271236616","45.0558740549","18.1708776992"
"","","93.9009447951","17.4695987791","46.4618622319","14.0583771543"
"","","","","47.1388195023","21.7993398012"
"","","","","49.3828990129","13.9487041917"
"","","","","50.3246242043","14.6189234792"
"","","","","55.2623067469","9.4035626452"
"","","","","57.5014731028","21.0142402283"
"","","","","71.6134285085","11.6942684045"
"","","","","85.8816048228","8.715224811"
